obo.NCBITaxon_48193,Formosan gray mullet,NONE
obo.NCBITaxon_48193,mugil cephalus,NONE
obo.FOODON_03308703,snail (canned),NONE
obo.FOODON_00001885,fruit butter food product,NONE
obo.FOODON_03305068,fatty food,NONE
obo.FOODON_03302797,marshmallow syrup (artificially colored and flavored),NONE
obo.FOODON_03309109,salmon herring,NONE
obo.FOODON_03311855,fruit juice (powdered),NONE
obo.FOODON_03315361,adzuki bean (whole),A seed of a adzuki bean plant (Vigna angularis)
obo.FOODON_03315361,azuki bean,A seed of a adzuki bean plant (Vigna angularis)
obo.FOODON_03315361,paht,A seed of a adzuki bean plant (Vigna angularis)
obo.FOODON_03315361,red bean,A seed of a adzuki bean plant (Vigna angularis)
obo.FOODON_03315361,aduki bean,A seed of a adzuki bean plant (Vigna angularis)
obo.FOODON_03315361,adzuki bean,A seed of a adzuki bean plant (Vigna angularis)
obo.FOODON_03315361,red mung bean,A seed of a adzuki bean plant (Vigna angularis)
obo.FOODON_03317571,grappa invecchiata,NONE
obo.FOODON_03304071,barbeque seasoning (salt-free),NONE
obo.FOODON_03308107,horse mackerel (raw),NONE
obo.FOODON_03303068,citrus peel,NONE
obo.FOODON_03308286,sole (raw),NONE
obo.NCBITaxon_1111464,valamugil engeli,NONE
obo.NCBITaxon_1111464,mugil kandavensis,NONE
obo.NCBITaxon_1111464,"Valamugil engeli (Bleeker, 1858-59)",NONE
obo.NCBITaxon_1111464,Moolgarda engeli,NONE
obo.NCBITaxon_1111464,kanda,NONE
obo.FOODON_03308704,"snail (in shell, canned)",NONE
obo.FOODON_03302950,maraschino cherry (artificially colored and flavored),NONE
obo.FOODON_00001886,fruit candy food product,NONE
obo.FOODON_03305691,synthetic food,NONE
obo.FOODON_03303604,chocolate fudge topping,NONE
obo.FOODON_03311723,milkfish in oil canned,NONE
obo.FOODON_03315045,"fruit juice (ready-to-serve, nonrefrigerated, pasteurized, aseptically packaged)",NONE
obo.FOODON_03317572,bagaceira velha,NONE
obo.FOODON_03304225,barbeque mix (powdered),NONE
obo.FOODON_03308289,scrawled sole (raw),NONE
obo.FOODON_03305817,mincemeat (brandied),NONE
